Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-04-01,2016,4,1,Friday,13,2016-13,204.35,207.14,203.98,206.92,114423500,178.95,0.006812067114846387,176.375,168.72780000000003
2016-04-04,2016,4,4,Monday,14,2016-14,206.83,207.07,205.89,206.25,63497000,178.37,-0.003238029994625413,176.67071428571427,169.0828
2016-04-05,2016,4,5,Tuesday,14,2016-14,204.67,206.26,203.89,204.19,99662200,176.59,-0.009987743729921617,176.85999999999999,169.3362
2016-04-06,2016,4,6,Wednesday,14,2016-14,204.19,206.49,203.98,206.42,91839800,178.52,0.010921235399461215,177.115,169.6778
2016-04-07,2016,4,7,Thursday,14,2016-14,205.14,205.56,203.09,203.95,113859000,176.38,-0.011966068686617315,177.13785714285714,169.93259999999998
2016-04-08,2016,4,8,Friday,14,2016-14,205.34,205.85,203.87,204.5,95040600,176.85,0.0026968196940766465,177.14499999999998,170.23239999999998
2016-04-11,2016,4,11,Monday,15,2016-15,205.25,206.07,203.91,204.02,83757500,176.44,-0.0023471261940111177,177.105,170.507
2016-04-12,2016,4,12,Tuesday,15,2016-15,204.22,206.25,203.7,205.92,115350600,178.08,0.009312608858839333,177.18857142857146,170.7352
2016-04-13,2016,4,13,Wednesday,15,2016-15,207.0,208.1,206.84,208.0,96336400,179.88,0.010101172813605341,177.4842857142857,171.00059999999996
2016-04-14,2016,4,14,Thursday,15,2016-15,208.07,208.6,207.6,208.01,65212900,179.89,4.784237667365687e-05,177.7864285714286,171.32620000000003
2016-04-15,2016,4,15,Friday,15,2016-15,208.01,208.17,207.4,207.78,75761600,179.69,-0.0011054962153740355,178.06714285714284,171.6282
2016-04-18,2016,4,18,Monday,16,2016-16,207.78,209.28,207.0,209.24,82531000,180.95,0.007026604325335306,178.32142857142858,171.9502
2016-04-19,2016,4,19,Tuesday,16,2016-16,209.74,210.2,208.94,209.9,88316100,181.52,0.0031544001639263186,178.56071428571428,172.3464
2016-04-20,2016,4,20,Wednesday,16,2016-16,209.95,210.92,209.39,210.1,81100300,181.7,0.0009528934724611915,178.84357142857144,172.78979999999999
2016-04-21,2016,4,21,Thursday,16,2016-16,210.12,210.25,208.65,208.97,85695000,180.72,-0.0053786051989404005,178.97,173.2134
2016-04-22,2016,4,22,Friday,16,2016-16,208.55,209.29,207.91,208.97,99251700,180.72,0.0,179.13785714285714,173.6398
2016-04-25,2016,4,25,Monday,17,2016-17,208.26,208.66,207.54,208.61,66166500,180.41,-0.001722521035890212,179.41071428571428,174.10139999999998
2016-04-26,2016,4,26,Tuesday,17,2016-17,209.04,209.52,208.36,208.92,75864200,180.68,0.0014857967573482789,179.565,174.5036
2016-04-27,2016,4,27,Wednesday,17,2016-17,208.47,209.81,208.05,209.35,77329400,181.05,0.0020583821114914524,179.89857142857142,174.85899999999998
2016-04-28,2016,4,28,Thursday,17,2016-17,208.46,209.76,206.96,207.45,97216200,179.41,-0.009075680480085224,180.08142857142857,175.1282
2016-04-29,2016,4,29,Friday,17,2016-17,206.72,207.13,205.03,206.33,142424100,178.44,-0.005398918022059163,180.22428571428574,175.3916
2016-05-02,2016,5,2,Monday,18,2016-18,206.92,208.18,206.41,207.97,62188000,179.86,0.007948306760447554,180.35142857142856,175.685
2016-05-03,2016,5,3,Tuesday,18,2016-18,206.52,206.8,205.28,206.16,106422100,178.29,-0.00870330909167727,180.23785714285714,175.89919999999998
2016-05-04,2016,5,4,Wednesday,18,2016-18,204.99,205.85,204.42,205.01,92243800,177.3,-0.00557785256869725,180.05285714285714,176.13580000000002
2016-05-05,2016,5,5,Thursday,18,2016-18,205.56,205.98,204.47,204.97,67619200,177.26,-0.00019519330462869355,179.87928571428574,176.3566
2016-05-06,2016,5,6,Friday,18,2016-18,204.06,205.77,203.88,205.72,89315000,177.91,0.0036590395285935884,179.66214285714287,176.55
2016-05-09,2016,5,9,Monday,19,2016-19,205.57,206.4,205.36,205.89,74374900,178.06,0.0008263654756768268,179.415,176.75419999999997
2016-05-10,2016,5,10,Tuesday,19,2016-19,206.72,208.47,206.64,208.45,77472200,180.27,0.012433922851970536,179.31285714285715,177.02900000000002
2016-05-11,2016,5,11,Wednesday,19,2016-19,207.91,208.54,206.5,206.5,81727000,178.58,-0.00935482991764669,179.16,177.1916
2016-05-12,2016,5,12,Thursday,19,2016-19,207.29,207.49,205.37,206.56,89586300,178.64,0.0002904210276102326,179.01142857142855,177.34
2016-05-13,2016,5,13,Friday,19,2016-19,206.21,206.86,204.38,204.76,96474600,177.08,-0.008714030472285361,178.77357142857144,177.4438
2016-05-16,2016,5,16,Monday,20,2016-20,204.96,207.34,204.89,206.78,77486800,178.83,0.009864816971118184,178.64142857142858,177.57139999999998
2016-05-17,2016,5,17,Tuesday,20,2016-20,206.46,206.8,204.23,204.85,114924900,177.16,-0.009333027178573094,178.36357142857145,177.66299999999998
2016-05-18,2016,5,18,Wednesday,20,2016-20,204.44,206.3,203.63,204.91,120062100,177.21,0.0002929324806566491,178.20642857142857,177.79319999999998
2016-05-19,2016,5,19,Thursday,20,2016-20,204.06,204.54,202.78,204.2,115430500,176.6,-0.0034651660103232063,178.075,177.89440000000002
2016-05-20,2016,5,20,Friday,20,2016-20,204.92,206.1,204.86,205.49,104990400,177.71,0.006317103564380977,177.92142857142858,178.015
2016-05-23,2016,5,23,Monday,21,2016-21,205.51,205.84,204.99,205.21,58682600,177.47,-0.0013625608897885888,177.86285714285717,178.07539999999997
2016-05-24,2016,5,24,Tuesday,21,2016-21,206.17,208.24,206.14,207.87,93537800,179.77,0.012962806765576484,178.03928571428574,178.18619999999999
2016-05-25,2016,5,25,Wednesday,21,2016-21,208.67,209.77,207.87,209.28,76621400,180.99,0.006782755250078321,178.30571428571426,178.32719999999998
2016-05-26,2016,5,26,Thursday,21,2016-21,209.44,209.71,208.97,209.34,55280700,181.04,0.00028673181208938026,178.5292857142857,178.449
2016-05-27,2016,5,27,Friday,21,2016-21,209.53,210.25,209.47,210.24,64211200,181.82,0.004299238604329014,178.79785714285714,178.56419999999997
