Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-02-26,2016,2,26,Friday,08,2016-08,59.0,59.21,57.92,58.34,7473400,49.11,-0.006978454471095463,47.84571428571428,48.61578947368421
2016-02-29,2016,2,29,Monday,09,2016-09,58.25,59.15,58.1,58.21,7645100,49.0,-0.0022284519354273113,48.089999999999996,48.62564102564103
2016-03-01,2016,3,1,Tuesday,09,2016-09,58.77,60.2,58.5,60.04,9183600,50.54,0.03143778462772473,48.42785714285714,48.673500000000004
2016-03-02,2016,3,2,Wednesday,09,2016-09,59.83,60.0,58.83,59.56,8856400,50.14,-0.007994477895544416,48.69357142857143,48.70926829268293
2016-03-03,2016,3,3,Thursday,09,2016-09,59.12,59.2,58.2,59.04,8261900,49.7,-0.008730765315585809,48.941428571428574,48.73285714285714
2016-03-04,2016,3,4,Friday,09,2016-09,59.14,59.19,58.23,58.7,8344800,49.42,-0.005758850642887725,49.112142857142864,48.74883720930232
2016-03-07,2016,3,7,Monday,10,2016-10,58.44,58.67,57.31,58.0,9199100,48.83,-0.011925073230499073,49.20785714285715,48.750681818181825
2016-03-08,2016,3,8,Tuesday,10,2016-10,57.58,58.23,57.26,57.6,8127400,48.49,-0.006896658945464984,49.205714285714286,48.74488888888889
2016-03-09,2016,3,9,Wednesday,10,2016-10,57.78,57.97,56.79,57.07,9734600,48.04,-0.009201399200490568,49.21214285714286,48.729565217391304
2016-03-10,2016,3,10,Thursday,10,2016-10,57.51,57.86,56.92,57.52,7014500,48.42,0.007885137266575137,49.20285714285715,48.72297872340425
2016-03-11,2016,3,11,Friday,10,2016-10,58.1,58.1,56.57,57.59,15497600,48.48,0.0012168057847667946,49.12571428571429,48.71791666666667
2016-03-14,2016,3,14,Monday,11,2016-11,57.58,58.78,57.5,58.65,9053300,49.37,0.018406310258355818,49.137142857142855,48.73122448979592
2016-03-15,2016,3,15,Tuesday,11,2016-11,58.32,59.16,58.17,59.08,7428500,49.74,0.007331687226773909,49.19571428571429,48.751400000000004
2016-03-16,2016,3,16,Wednesday,11,2016-11,58.65,59.82,58.65,59.67,8069400,50.23,0.009986221220547487,49.25071428571429,48.778200000000005
2016-03-17,2016,3,17,Thursday,11,2016-11,59.47,59.98,59.37,59.55,7734700,50.13,-0.002011107375728516,49.323571428571434,48.7966
2016-03-18,2016,3,18,Friday,11,2016-11,59.91,60.45,59.43,59.7,14313600,50.26,0.0025190452145218423,49.41357142857144,48.8262
2016-03-21,2016,3,21,Monday,12,2016-12,59.56,59.86,59.02,59.1,6487200,49.75,-0.01005040687320502,49.357142857142854,48.869800000000005
2016-03-22,2016,3,22,Tuesday,12,2016-12,59.0,59.55,58.57,59.38,8246800,49.99,0.004738021441318185,49.346428571428575,48.919200000000004
2016-03-23,2016,3,23,Wednesday,12,2016-12,59.14,59.4,58.69,58.83,5794500,49.53,-0.00926263458200316,49.33428571428572,48.9394
2016-03-24,2016,3,24,Thursday,12,2016-12,58.7,58.79,58.28,58.36,5948300,49.13,-0.007988991749974361,49.31357142857143,48.9242
2016-03-28,2016,3,28,Monday,13,2016-13,58.56,59.47,58.4,58.96,5791600,49.64,0.010280940634130653,49.37142857142857,48.9458
2016-03-29,2016,3,29,Tuesday,13,2016-13,58.82,59.74,58.82,59.55,6031400,50.13,0.01000670167111406,49.48857142857143,48.958600000000004
2016-03-30,2016,3,30,Wednesday,13,2016-13,60.0,60.26,59.51,60.01,5723500,50.52,0.00772469152824673,49.66571428571428,48.9956
2016-03-31,2016,3,31,Thursday,13,2016-13,59.77,60.21,59.68,59.7,5622800,50.26,-0.005165742546042407,49.79714285714285,49.0182
2016-04-01,2016,4,1,Friday,13,2016-13,59.61,61.17,59.41,61.02,9401100,51.37,0.022110606695762813,50.003571428571426,49.0904
2016-04-04,2016,4,4,Monday,14,2016-14,61.1,61.18,60.08,60.25,5799900,50.72,-0.012618911688856427,50.1,49.114200000000004
2016-04-05,2016,4,5,Tuesday,14,2016-14,59.88,60.23,59.44,60.04,4994800,50.54,-0.003485538830685031,50.15714285714285,49.132
2016-04-06,2016,4,6,Wednesday,14,2016-14,60.02,60.91,59.91,60.83,5667300,51.21,0.01315801688163365,50.22714285714285,49.1876
2016-04-07,2016,4,7,Thursday,14,2016-14,60.59,61.54,60.54,61.17,8239200,51.5,0.005589240161452791,50.324999999999996,49.233999999999995
2016-04-08,2016,4,8,Friday,14,2016-14,61.5,61.64,60.7,61.04,5064900,51.39,-0.0021250578822150645,50.40571428571428,49.2946
2016-04-11,2016,4,11,Monday,15,2016-15,61.22,61.5,60.78,60.9,6103400,51.27,-0.0022934945522544714,50.51428571428571,49.325
2016-04-12,2016,4,12,Tuesday,15,2016-15,58.95,59.68,58.37,59.5,17565800,50.09,-0.022988858105561727,50.521428571428565,49.306999999999995
2016-04-13,2016,4,13,Wednesday,15,2016-15,60.32,61.08,59.75,60.21,9898500,50.69,0.01193266330303544,50.604285714285716,49.2904
2016-04-14,2016,4,14,Thursday,15,2016-15,60.26,60.4,59.91,60.13,5157400,50.62,-0.0013283125876997204,50.71071428571429,49.2808
2016-04-15,2016,4,15,Friday,15,2016-15,60.24,60.62,60.01,60.51,5965300,50.94,0.00631949711696822,50.80357142857143,49.297200000000004
2016-04-18,2016,4,18,Monday,16,2016-16,60.69,61.07,60.36,60.89,7228600,51.26,0.006279961634729547,50.88428571428572,49.341
2016-04-19,2016,4,19,Tuesday,16,2016-16,61.16,61.25,60.48,60.9,7283600,51.27,0.00016446383116641705,50.93785714285714,49.449000000000005
2016-04-20,2016,4,20,Wednesday,16,2016-16,61.04,61.43,60.85,60.9,5558800,51.27,0.0,51.010000000000005,49.56280000000001
2016-04-21,2016,4,21,Thursday,16,2016-16,60.9,61.1,60.48,60.64,12799100,51.05,-0.0042694784117192075,50.987142857142864,49.6676
2016-04-22,2016,4,22,Friday,16,2016-16,59.01,59.1,57.03,57.68,29836700,48.56,-0.04881279444382092,50.832857142857144,49.7104
2016-04-25,2016,4,25,Monday,17,2016-17,57.62,57.96,57.58,57.77,8428000,48.63,0.0015605065518649042,50.69642857142857,49.7584
2016-04-26,2016,4,26,Tuesday,17,2016-17,58.05,58.67,57.56,57.72,8839100,48.59,-0.000865475300775076,50.50928571428572,49.7896
2016-04-27,2016,4,27,Wednesday,17,2016-17,57.51,57.65,56.62,56.9,12390800,47.9,-0.014206749395314633,50.25214285714286,49.79780000000001
2016-04-28,2016,4,28,Thursday,17,2016-17,56.59,57.36,56.32,56.42,9196600,47.5,-0.00843557060790645,49.97428571428571,49.77740000000001
